product_id,product_name,category,sub_category,units,revenue,profit,abc_class,xyz_class,inventory_policy,avg_monthly_demand,safety_stock,reorder_point,recommended_max_stock,stock_action
FUR-CH-10003379,Global Commerce Series High-Back Swivel/Tilt Chairs,Furniture,Chairs,15,3874.2340000000004,584.2090000000001,A,X,"CORE - high availability, tight monitoring",1.25,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10002114,Xiaomi Mi3,Technology,Phones,4,2279.96,592.7896,A,Z,"BALANCE - protect availability, cap stock",0.3333333333333333,1.0,2.0,3.0,MINIMISE STOCK
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,21,5575.434,608.7258,A,Y,MANAGE - replenish on forecast,1.75,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
FUR-TA-10000617,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",Furniture,Tables,14,3165.68,609.8340000000001,A,Y,MANAGE - replenish on forecast,1.1666666666666667,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10004115,Sharp AL-1530CS Digital Copier,Technology,Copiers,7,1918.9520000000002,614.9877,A,X,"CORE - high availability, tight monitoring",0.5833333333333334,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10001795,ClearOne CHATAttach 160 - speaker phone,Technology,Phones,6,1265.948,619.99,A,X,"CORE - high availability, tight monitoring",0.5,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology,Accessories,18,4195.834,684.9725999999999,A,Y,MANAGE - replenish on forecast,1.5,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,19,2895.832,694.9359999999999,A,Z,"BALANCE - protect availability, cap stock",1.5833333333333333,5.0,6.0,8.0,MINIMISE STOCK
OFF-PA-10000418,Xerox 189,Office Supplies,Paper,18,1751.6,696.204,A,X,"CORE - high availability, tight monitoring",1.5,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10004977,GE 30524EE4,Technology,Phones,24,2465.394,697.7244,A,Y,MANAGE - replenish on forecast,2.0,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10004495,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs,18,4652.798,698.2736,A,Y,MANAGE - replenish on forecast,1.5,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,Bookcases,22,3788.384,698.5827999999999,A,Y,MANAGE - replenish on forecast,1.8333333333333333,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-LA-10003930,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,19,1674.608,698.9841,A,X,"CORE - high availability, tight monitoring",1.5833333333333333,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10001496,Standard Rollaway File with Lock,Office Supplies,Storage,28,4507.674,699.1372000000001,A,Y,MANAGE - replenish on forecast,2.3333333333333335,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10004675,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs,16,3297.5840000000003,715.3024,A,X,"CORE - high availability, tight monitoring",1.3333333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10000990,Imation Bio 2GB USB Flash Drive Imation Corp,Technology,Accessories,13,1766.3400000000001,716.2428,A,X,"CORE - high availability, tight monitoring",1.0833333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10000984,Panasonic KX-TG9471B,Technology,Phones,15,2708.266,509.574,A,X,"CORE - high availability, tight monitoring",1.25,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10003805,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage,16,3114.92,505.32,A,Y,MANAGE - replenish on forecast,1.3333333333333333,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Technology,Accessories,15,2088.874,503.9685,A,X,"CORE - high availability, tight monitoring",1.25,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10002584,Samsung Galaxy S4,Technology,Phones,8,4050.336,500.792,A,X,"CORE - high availability, tight monitoring",0.6666666666666666,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10002310,Panasonic KX T7731-B Digital phone,Technology,Phones,10,1825.7060000000001,424.05899999999997,A,Y,MANAGE - replenish on forecast,0.8333333333333334,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10000675,Xerox 1919,Office Supplies,Paper,24,1020.374,424.6564,A,X,"CORE - high availability, tight monitoring",2.0,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,11,1829.3959999999997,425.3722,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10003610,Logitech Illuminated - Keyboard,Technology,Accessories,17,1323.84,429.52840000000003,A,X,"CORE - high availability, tight monitoring",1.4166666666666667,1.0,2.0,4.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10000420,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Technology,Accessories,21,1399.8,429.7386,A,X,"CORE - high availability, tight monitoring",1.75,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine,Office Supplies,Binders,32,1904.326,431.2252,A,Y,MANAGE - replenish on forecast,2.6666666666666665,4.0,5.0,8.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",Furniture,Chairs,25,3243.9919999999997,437.842,A,X,"CORE - high availability, tight monitoring",2.0833333333333335,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,Accessories,31,1609.58,441.048,A,X,"CORE - high availability, tight monitoring",2.5833333333333335,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10003072,Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,Technology,Phones,13,1057.904,445.4703,A,Y,MANAGE - replenish on forecast,1.0833333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10003601,"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",Technology,Phones,9,1726.91,445.47300000000007,A,Y,MANAGE - replenish on forecast,0.75,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
FUR-TA-10004619,Hon Non-Folding Utility Tables,Furniture,Tables,19,2564.891,446.068,A,X,"CORE - high availability, tight monitoring",1.5833333333333333,1.0,2.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10001033,Xerox 1893,Office Supplies,Paper,26,1440.958,448.43059999999997,A,Y,MANAGE - replenish on forecast,2.1666666666666665,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10001970,Xerox 1881,Office Supplies,Paper,39,2286.1679999999997,719.2226,A,Y,MANAGE - replenish on forecast,3.25,2.0,3.0,7.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10004359,Multicolor Computer Printout Paper,Office Supplies,Paper,11,1140.5,448.75800000000004,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10003645,Aastra 57i VoIP phone,Technology,Phones,17,2551.794,455.74019999999996,A,Y,MANAGE - replenish on forecast,1.4166666666666667,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,5,1666.7,459.396,A,Z,"BALANCE - protect availability, cap stock",0.4166666666666667,1.0,2.0,3.0,MINIMISE STOCK
TEC-PH-10000895,Polycom VVX 310 VoIP phone,Technology,Phones,16,2612.856,460.7744,A,X,"CORE - high availability, tight monitoring",1.3333333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,10,1978.306,473.777,A,Y,MANAGE - replenish on forecast,0.8333333333333334,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10000938,Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies,Appliances,24,2290.56,476.6256,A,X,"CORE - high availability, tight monitoring",2.0,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10001760,Bose SoundLink Bluetooth Speaker,Technology,Phones,9,1442.8,483.57,A,X,"CORE - high availability, tight monitoring",0.75,0.0,1.0,2.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10001908,Logitech Wireless Headset h800,Technology,Accessories,22,1966.808,489.951,A,Z,"BALANCE - protect availability, cap stock",1.8333333333333333,5.0,6.0,8.0,MINIMISE STOCK
FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Furniture,Furnishings,43,2117.084,490.1475,A,Z,"BALANCE - protect availability, cap stock",3.5833333333333335,5.0,6.0,10.0,MINIMISE STOCK
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Furniture,Chairs,10,3193.82,491.37200000000007,A,Y,MANAGE - replenish on forecast,0.8333333333333334,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10001394,Global Leather Executive Chair,Furniture,Chairs,12,3439.702,491.38599999999997,A,Y,MANAGE - replenish on forecast,1.0,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10000785,Global Ergonomic Managers Chair,Furniture,Chairs,32,4933.872,492.2656,A,Y,MANAGE - replenish on forecast,2.6666666666666665,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,11,2216.864,493.3392,A,Y,MANAGE - replenish on forecast,0.9166666666666666,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10004340,"Fellowes Mobile File Cart, Black",Office Supplies,Storage,38,2507.3,451.4268,A,Y,MANAGE - replenish on forecast,3.1666666666666665,3.0,4.0,8.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10004287,SAFCO Arco Folding Chair,Furniture,Chairs,20,4748.780000000001,745.74,A,Y,MANAGE - replenish on forecast,1.6666666666666667,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10000100,Xerox 1945,Office Supplies,Paper,31,1273.304,565.2520999999999,A,Y,MANAGE - replenish on forecast,2.5833333333333335,3.0,4.0,7.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,16,12577.108,762.1543999999994,A,X,"CORE - high availability, tight monitoring",1.3333333333333333,0.0,1.0,3.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10004666,Maxell iVDR EX 500GB Cartridge,Technology,Accessories,10,2032.3999999999999,1184.8220000000001,A,Y,MANAGE - replenish on forecast,0.8333333333333334,3.0,4.0,5.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,22,5799.081,1190.2584,A,Y,MANAGE - replenish on forecast,1.8333333333333333,4.0,5.0,7.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,19,3728.68,1328.2014,A,X,"CORE - high availability, tight monitoring",1.5833333333333333,1.0,2.0,4.0,"STOCK-UP (high value, stable demand)"
TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,Technology,Machines,8,3040.0,1459.2,A,Z,"BALANCE - protect availability, cap stock",0.6666666666666666,1.0,2.0,3.0,MINIMISE STOCK
TEC-AC-10001838,Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,Technology,Accessories,17,2976.83,1461.9269000000002,A,Y,MANAGE - replenish on forecast,1.4166666666666667,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,Office Supplies,Binders,13,4637.684,1637.5555,A,Y,MANAGE - replenish on forecast,1.0833333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,14,5047.192,1641.0576,A,Y,MANAGE - replenish on forecast,1.1666666666666667,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,Machines,5,3436.5,1668.205,A,Z,"BALANCE - protect availability, cap stock",0.4166666666666667,1.0,2.0,3.0,MINIMISE STOCK
TEC-CO-10003236,Canon Image Class D660 Copier,Technology,Copiers,7,4022.9339999999997,1691.9718,A,Y,MANAGE - replenish on forecast,0.5833333333333334,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10001459,Samsung Galaxy Mega 6.3,Technology,Phones,34,12370.707999999999,1696.7595999999999,A,X,"CORE - high availability, tight monitoring",2.8333333333333335,3.0,4.0,7.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,38,7304.126,1732.258,A,X,"CORE - high availability, tight monitoring",3.1666666666666665,3.0,4.0,8.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10001046,Canon Imageclass D680 Copier / Fax,Technology,Copiers,10,5694.92,1749.975,A,Y,MANAGE - replenish on forecast,0.8333333333333334,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,Appliances,11,3029.0699999999997,1181.3373,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,16,5154.87,1753.7148,A,Y,MANAGE - replenish on forecast,1.3333333333333333,4.0,5.0,7.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,31,6651.5419999999995,1826.352,A,Y,MANAGE - replenish on forecast,2.5833333333333335,4.0,5.0,8.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,66,9895.798,1828.0088,A,Y,MANAGE - replenish on forecast,5.5,4.0,6.0,12.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10003870,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Technology,Accessories,14,4657.860000000001,1847.944,A,X,"CORE - high availability, tight monitoring",1.1666666666666667,1.0,2.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,37,1855.8980000000001,754.3015,A,Y,MANAGE - replenish on forecast,3.0833333333333335,2.0,3.0,7.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,10,5599.92,1889.973,A,X,"CORE - high availability, tight monitoring",0.8333333333333334,0.0,1.0,2.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories,25,7664.85,2062.1875,A,X,"CORE - high availability, tight monitoring",2.0833333333333335,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,29,7275.8099999999995,2396.1805,A,X,"CORE - high availability, tight monitoring",2.4166666666666665,3.0,4.0,7.0,"STOCK-UP (high value, stable demand)"
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7,4899.93,2400.9657,A,Z,"BALANCE - protect availability, cap stock",0.5833333333333334,1.0,2.0,3.0,MINIMISE STOCK
OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,21,12890.258,2753.7593,A,Z,"BALANCE - protect availability, cap stock",1.75,4.0,5.0,7.0,MINIMISE STOCK
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,5,4749.95,2799.984,A,Z,"BALANCE - protect availability, cap stock",0.4166666666666667,1.0,2.0,3.0,MINIMISE STOCK
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,11,14334.89,3717.9714000000004,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,31,13837.732,6407.8932,A,X,"CORE - high availability, tight monitoring",2.5833333333333335,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10002095,Hewlett Packard 610 Color Digital Copier / Printer,Technology,Copiers,12,3210.898,1799.964,A,X,"CORE - high availability, tight monitoring",1.0,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10001526,Iceberg Mobile Mega Data/Printer Cart,Office Supplies,Storage,37,4694.21,1157.5746,A,Y,MANAGE - replenish on forecast,3.0833333333333335,4.0,5.0,9.0,"STOCK-UP (high value, stable demand)"
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,32,6530.756,1856.6766,A,Y,MANAGE - replenish on forecast,2.6666666666666665,3.0,4.0,7.0,"STOCK-UP (high value, stable demand)"
TEC-MA-10000488,Bady BDG101FRU Card Printer,Technology,Machines,11,7385.907999999999,1111.9861,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders,9,3059.0559999999996,1136.646,A,Y,MANAGE - replenish on forecast,0.75,3.0,4.0,5.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,Furniture,Chairs,25,10217.894,776.519,A,X,"CORE - high availability, tight monitoring",2.0833333333333335,2.0,3.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10000971,Hewlett Packard 310 Color Digital Copier,Technology,Copiers,14,3847.876,779.9739999999999,A,X,"CORE - high availability, tight monitoring",1.1666666666666667,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Furniture,Chairs,15,4088.5240000000003,785.646,A,X,"CORE - high availability, tight monitoring",1.25,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10002834,Google Nexus 5,Technology,Phones,20,2082.806,791.956,A,Y,MANAGE - replenish on forecast,1.6666666666666667,4.0,5.0,7.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Office Supplies,Appliances,10,2540.636,822.9859999999999,A,Y,MANAGE - replenish on forecast,0.8333333333333334,3.0,4.0,5.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10002335,Hon GuestStacker Chair,Furniture,Chairs,22,2441.4,843.2124,A,Y,MANAGE - replenish on forecast,1.8333333333333333,4.0,5.0,7.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10001494,Polycom CX600 IP Phone VoIP phone,Technology,Phones,15,2818.3099999999995,854.8575000000001,A,Y,MANAGE - replenish on forecast,1.25,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
FUR-FU-10002937,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Furnishings,20,1969.5240000000001,873.224,A,Y,MANAGE - replenish on forecast,1.6666666666666667,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
TEC-MA-10000984,Okidata MB760 Printer,Technology,Machines,7,7834.4,881.37,A,X,"CORE - high availability, tight monitoring",0.5833333333333334,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,13,3411.7400000000002,882.1124,A,X,"CORE - high availability, tight monitoring",1.0833333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
TEC-MA-10002428,Fellowes Powershred HS-440 4-Sheet High Security Shredder,Technology,Machines,14,2126.866,883.443,A,Y,MANAGE - replenish on forecast,1.1666666666666667,5.0,6.0,8.0,"STOCK-UP (high value, stable demand)"
TEC-PH-10002624,Samsung Galaxy S4 Mini,Technology,Phones,10,4288.91,892.981,A,Y,MANAGE - replenish on forecast,0.8333333333333334,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10002615,"Dual Level, Single-Width Filing Carts",Office Supplies,Storage,22,3436.284,793.9072,A,Y,MANAGE - replenish on forecast,1.8333333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,22,3801.368,939.9628,A,X,"CORE - high availability, tight monitoring",1.8333333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,16,2423.86,911.1464,A,Y,MANAGE - replenish on forecast,1.3333333333333333,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-BI-10004318,Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders,23,3298.913,1086.3772,A,Y,MANAGE - replenish on forecast,1.9166666666666667,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10001780,Tennsco 16-Compartment Lockers with Coat Rack,Office Supplies,Storage,11,6501.9,1062.5395999999998,A,X,"CORE - high availability, tight monitoring",0.9166666666666666,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10001943,Canon PC-428 Personal Copier,Technology,Copiers,18,3053.85,1091.9454,A,Y,MANAGE - replenish on forecast,1.5,4.0,5.0,7.0,"STOCK-UP (high value, stable demand)"
TEC-CO-10002313,Canon PC1080F Personal Copier,Technology,Copiers,7,2575.94,1037.9827,A,Y,MANAGE - replenish on forecast,0.5833333333333334,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10000994,Xerox 1915,Office Supplies,Paper,22,2473.79,1044.306,A,Y,MANAGE - replenish on forecast,1.8333333333333333,4.0,5.0,7.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10001490,"Hot File 7-Pocket, Floor Stand",Office Supplies,Storage,25,6198.504,1017.279,A,Y,MANAGE - replenish on forecast,2.0833333333333335,4.0,5.0,8.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10003306,Letter Size Cart,Office Supplies,Storage,24,3828.068,965.7336,A,X,"CORE - high availability, tight monitoring",2.0,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,17,4134.96,956.9502,A,Y,MANAGE - replenish on forecast,1.4166666666666667,3.0,4.0,6.0,"STOCK-UP (high value, stable demand)"
FUR-CH-10003746,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs,16,4685.21,956.5204,A,Y,MANAGE - replenish on forecast,1.3333333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
OFF-ST-10000142,Deluxe Rollaway Locking File with Drawer,Office Supplies,Storage,11,2439.152,1031.3824,A,Y,MANAGE - replenish on forecast,0.9166666666666666,2.0,3.0,4.0,"STOCK-UP (high value, stable demand)"
OFF-EN-10001453,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Office Supplies,Envelopes,11,1004.192,278.6786,B,X,STANDARD - normal replenishment,0.9166666666666666,1.0,2.0,3.0,"STOCK-UP (high value, stable demand)"
FUR-FU-10000965,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Furniture,Furnishings,13,675.22,276.8402,B,Z,"REDUCE - cut stock, watch variability",1.0833333333333333,1.0,2.0,4.0,MINIMISE STOCK
OFF-BI-10002082,GBC Twin Loop Wire Binding Elements,Office Supplies,Binders,39,1017.512,279.552,B,Y,WATCH - moderate safety stock,3.25,4.0,5.0,9.0,"STOCK-UP (high value, stable demand)"
OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,13,646.54,279.736,B,Y,WATCH - moderate safety stock,1.0833333333333333,2.0,3.0,5.0,"STOCK-UP (high value, stable demand)"
